epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,3046.9,0.28426,0.73196,1.55454,0.94506,0.8785,0.93221,0.4483,0.48058,1.00138,2.40666,0.00085513,0.00085513,0.00085513
167,3065.2,0.28676,0.75006,1.56983,0.95032,0.89398,0.93872,0.42102,0.4837,0.97009,2.46915,0.000844899,0.000844899,0.000844899
168,3083.46,0.29166,0.69727,1.58841,0.95062,0.89966,0.95405,0.43889,0.48325,0.9925,2.48532,0.000834686,0.000834686,0.000834686
169,3101.79,0.30001,0.76701,1.59054,0.91897,0.90654,0.92675,0.42194,0.4837,0.9172,2.50142,0.000824492,0.000824492,0.000824492
170,3120,0.29545,0.75352,1.5987,0.93411,0.92745,0.97105,0.4571,0.47764,0.91529,2.4274,0.000814319,0.000814319,0.000814319
171,3138.18,0.28672,0.722,1.55929,0.94053,0.8869,0.94165,0.41848,0.49517,0.93631,2.47285,0.000804167,0.000804167,0.000804167
172,3156.43,0.29061,0.73408,1.5697,0.92032,0.8785,0.90608,0.43903,0.48291,1.02267,2.49663,0.000794038,0.000794038,0.000794038
173,3174.81,0.28402,0.73875,1.56576,0.90595,0.90022,0.91215,0.44198,0.47305,0.97492,2.49027,0.000783933,0.000783933,0.000783933
174,3193.08,0.29689,0.74002,1.61716,0.95644,0.8972,0.94744,0.43799,0.49294,0.83016,2.59107,0.000773852,0.000773852,0.000773852
175,3211.34,0.27793,0.68355,1.51765,0.93389,0.92422,0.95258,0.44076,0.48205,0.86217,2.53082,0.000763797,0.000763797,0.000763797
176,3229.76,0.2939,0.72532,1.5855,0.91316,0.88449,0.93032,0.43175,0.49303,0.92495,2.55552,0.000753769,0.000753769,0.000753769
177,3248.16,0.27869,0.69827,1.54296,0.92102,0.8972,0.93712,0.44332,0.48322,0.94725,2.49383,0.000743769,0.000743769,0.000743769
178,3266.42,0.30496,0.73447,1.59048,0.95416,0.8972,0.94095,0.43123,0.48935,0.90137,2.5393,0.000733799,0.000733799,0.000733799
179,3284.69,0.29916,0.7505,1.60616,0.93084,0.91589,0.92447,0.42385,0.49116,0.86566,2.56986,0.000723859,0.000723859,0.000723859
180,3303.07,0.29797,0.70268,1.58727,0.94251,0.91925,0.94232,0.43647,0.49858,0.95225,2.50618,0.00071395,0.00071395,0.00071395
181,3321.41,0.29253,0.72177,1.56871,0.91772,0.8785,0.94964,0.44701,0.47607,0.9239,2.45716,0.000704073,0.000704073,0.000704073
