epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1003.46,0.18299,0.8586,1.22524,0.9003,0.84112,0.91201,0.40757,0.23957,1.02215,1.55729,0.00163303,0.00163303,0.00163303
87,1014.88,0.1782,0.83708,1.21764,0.89259,0.81308,0.86526,0.36536,0.24999,1.00878,1.67487,0.00162494,0.00162494,0.00162494
88,1026.43,0.17628,0.84571,1.23664,0.92022,0.86236,0.91491,0.40968,0.24558,0.98291,1.66502,0.00161678,0.00161678,0.00161678
89,1038.07,0.17135,0.85521,1.21325,0.87373,0.8785,0.91809,0.40908,0.23321,0.95217,1.52595,0.00160855,0.00160855,0.00160855
90,1049.68,0.17375,0.83265,1.20354,0.91343,0.86916,0.92852,0.44458,0.23747,0.94418,1.52737,0.00160026,0.00160026,0.00160026
91,1061.29,0.17709,0.86675,1.21186,0.9143,0.89738,0.92936,0.4443,0.25179,0.9032,1.55723,0.00159191,0.00159191,0.00159191
92,1072.93,0.17674,0.81747,1.21809,0.85298,0.81336,0.83294,0.37655,0.25637,1.01728,1.60481,0.00158349,0.00158349,0.00158349
93,1084.51,0.17103,0.80603,1.17896,0.83922,0.92688,0.92706,0.42668,0.24785,0.96482,1.55537,0.00157501,0.00157501,0.00157501
94,1096.11,0.17099,0.81099,1.1968,0.87873,0.86916,0.86886,0.40925,0.25148,1.01074,1.60899,0.00156646,0.00156646,0.00156646
95,1107.63,0.1798,0.8497,1.23989,0.858,0.80374,0.85005,0.37127,0.26509,1.06686,1.75211,0.00155786,0.00155786,0.00155786
96,1119.19,0.17322,0.82287,1.21238,0.90724,0.82265,0.86587,0.41074,0.25118,1.01938,1.63666,0.00154919,0.00154919,0.00154919
97,1130.75,0.16642,0.80866,1.19239,0.89926,0.84112,0.90229,0.3902,0.24782,1.00562,1.64303,0.00154047,0.00154047,0.00154047
98,1142.45,0.16987,0.81852,1.19154,0.9251,0.80805,0.91502,0.41538,0.24527,0.99346,1.57574,0.00153169,0.00153169,0.00153169
99,1154.02,0.17076,0.80781,1.18818,0.91505,0.85981,0.88772,0.41333,0.24103,1.05631,1.53909,0.00152285,0.00152285,0.00152285
100,1165.66,0.17272,0.80671,1.1956,0.91961,0.84112,0.89881,0.42133,0.2459,0.97763,1.561,0.00151395,0.00151395,0.00151395
101,1177.24,0.16488,0.80551,1.16401,0.87772,0.87212,0.90648,0.40778,0.24886,0.9528,1.58712,0.001505,0.001505,0.001505
102,1188.84,0.17534,0.78255,1.20002,0.89932,0.84112,0.91495,0.43044,0.25733,0.91992,1.66421,0.00149599,0.00149599,0.00149599
103,1200.38,0.17098,0.7807,1.21035,0.88469,0.83178,0.88501,0.38877,0.24806,0.94644,1.60654,0.00148694,0.00148694,0.00148694
104,1212.02,0.1733,0.80545,1.20073,0.89843,0.92523,0.93023,0.4435,0.246,0.91044,1.56621,0.00147783,0.00147783,0.00147783
105,1223.56,0.17437,0.77516,1.20463,0.91046,0.85533,0.91661,0.43709,0.24806,1.02835,1.58305,0.00146866,0.00146866,0.00146866
106,1235.17,0.16813,0.81557,1.1835,0.95039,0.89525,0.93448,0.45077,0.23959,0.93699,1.53608,0.00145945,0.00145945,0.00145945
107,1246.64,0.17042,0.80433,1.18255,0.91031,0.88785,0.92109,0.43846,0.24763,0.92106,1.62174,0.00145019,0.00145019,0.00145019
108,1258.2,0.16631,0.76022,1.17756,0.89396,0.8785,0.90028,0.41399,0.25313,0.97038,1.62825,0.00144088,0.00144088,0.00144088
109,1269.92,0.16895,0.81724,1.20213,0.92664,0.86916,0.91853,0.40201,0.25699,0.9681,1.65579,0.00143152,0.00143152,0.00143152
110,1281.49,0.17415,0.79884,1.20479,0.91213,0.87313,0.91481,0.41903,0.24639,0.95091,1.57115,0.00142212,0.00142212,0.00142212
111,1292.98,0.17133,0.82527,1.18592,0.92618,0.80374,0.89296,0.42613,0.23688,0.94986,1.53611,0.00141267,0.00141267,0.00141267
112,1304.46,0.16342,0.75871,1.15364,0.89735,0.89873,0.91189,0.41189,0.24336,0.91408,1.62671,0.00140318,0.00140318,0.00140318
113,1315.95,0.16527,0.76935,1.19376,0.88533,0.85047,0.89321,0.41538,0.24362,0.98687,1.56568,0.00139364,0.00139364,0.00139364
114,1327.47,0.17287,0.82746,1.18965,0.88631,0.87434,0.91896,0.43903,0.24694,0.97974,1.56652,0.00138406,0.00138406,0.00138406
115,1339.09,0.16931,0.79874,1.19034,0.89036,0.85047,0.89477,0.40778,0.24825,0.96451,1.59713,0.00137444,0.00137444,0.00137444
116,1350.7,0.17264,0.78661,1.18198,0.90821,0.83224,0.88899,0.40584,0.2471,1.0276,1.61565,0.00136478,0.00136478,0.00136478
117,1362.4,0.16463,0.77267,1.18964,0.97064,0.88785,0.95544,0.44171,0.24465,0.97359,1.5475,0.00135509,0.00135509,0.00135509
118,1373.97,0.16504,0.76588,1.17076,0.91985,0.85803,0.91312,0.40664,0.25487,0.97497,1.64369,0.00134535,0.00134535,0.00134535
119,1385.55,0.16332,0.75781,1.16761,0.92018,0.86197,0.91303,0.41076,0.24812,0.98459,1.59585,0.00133558,0.00133558,0.00133558
120,1397.24,0.16367,0.79523,1.15395,0.89232,0.85196,0.91114,0.40393,0.24456,1.0017,1.56768,0.00132577,0.00132577,0.00132577
121,1408.93,0.16158,0.74736,1.16173,0.92759,0.83811,0.91275,0.42428,0.24216,1.07531,1.59122,0.00131593,0.00131593,0.00131593
122,1420.54,0.16431,0.75655,1.15905,0.94718,0.85047,0.92909,0.45205,0.24663,1.00832,1.57447,0.00130605,0.00130605,0.00130605
123,1432.14,0.16149,0.74427,1.15825,0.912,0.85981,0.9251,0.43812,0.24771,0.98271,1.57491,0.00129614,0.00129614,0.00129614
124,1443.69,0.1607,0.76497,1.1486,0.92958,0.8972,0.93801,0.45011,0.24439,0.99782,1.52449,0.0012862,0.0012862,0.0012862
125,1455.17,0.16017,0.74244,1.16004,0.91478,0.90285,0.92758,0.43867,0.24441,0.92736,1.59218,0.00127623,0.00127623,0.00127623
126,1466.65,0.16887,0.77304,1.18657,0.88356,0.94393,0.93499,0.41778,0.24464,0.87839,1.61467,0.00126623,0.00126623,0.00126623
127,1478.2,0.15718,0.77767,1.13537,0.95174,0.92162,0.93413,0.41825,0.24769,0.91112,1.60371,0.0012562,0.0012562,0.0012562
128,1489.81,0.1579,0.75214,1.14359,0.94728,0.8972,0.94146,0.45402,0.24036,0.95148,1.5575,0.00124615,0.00124615,0.00124615
129,1501.3,0.15868,0.73788,1.12178,0.92126,0.86916,0.94332,0.44483,0.25229,0.95434,1.62142,0.00123607,0.00123607,0.00123607
130,1512.88,0.16353,0.75781,1.15447,0.88885,0.89681,0.92028,0.42264,0.24331,0.89892,1.58997,0.00122596,0.00122596,0.00122596
131,1524.45,0.16576,0.76483,1.17306,0.90612,0.9021,0.93557,0.44611,0.23882,0.91395,1.58031,0.00121583,0.00121583,0.00121583
132,1535.94,0.16249,0.77586,1.17309,0.9198,0.85751,0.9059,0.42649,0.23705,0.92153,1.57047,0.00120568,0.00120568,0.00120568
133,1547.46,0.15568,0.72135,1.12513,0.8669,0.8972,0.90847,0.43435,0.24143,0.87224,1.59274,0.00119551,0.00119551,0.00119551
134,1558.95,0.15384,0.71145,1.13963,0.9663,0.83178,0.92082,0.43641,0.2347,0.98132,1.542,0.00118531,0.00118531,0.00118531
135,1570.47,0.15681,0.7383,1.13614,0.87292,0.85981,0.89129,0.41495,0.24408,0.88634,1.58925,0.0011751,0.0011751,0.0011751
136,1582.06,0.16025,0.71893,1.13365,0.93681,0.85047,0.91311,0.40434,0.24896,0.94729,1.65824,0.00116487,0.00116487,0.00116487
137,1593.57,0.16038,0.75883,1.15054,0.94001,0.8787,0.94255,0.45808,0.23796,0.97106,1.5553,0.00115462,0.00115462,0.00115462
138,1605.1,0.16147,0.74876,1.14987,0.9219,0.91589,0.93646,0.44315,0.24753,0.89898,1.61424,0.00114436,0.00114436,0.00114436
139,1616.59,0.15449,0.71997,1.13588,0.93282,0.88785,0.92871,0.44049,0.23997,0.89538,1.56239,0.00113408,0.00113408,0.00113408
140,1628.09,0.15043,0.72467,1.13552,0.93205,0.89734,0.94094,0.45168,0.24035,0.90376,1.58376,0.00112379,0.00112379,0.00112379
141,1639.71,0.15798,0.72101,1.12953,0.95953,0.88632,0.93121,0.44669,0.24731,0.89078,1.58561,0.00111348,0.00111348,0.00111348
142,1651.34,0.15965,0.7151,1.15094,0.96696,0.86916,0.93051,0.45913,0.23972,0.92514,1.51074,0.00110317,0.00110317,0.00110317
143,1662.82,0.15366,0.68689,1.12175,0.96117,0.88785,0.96424,0.46556,0.24338,0.91248,1.56232,0.00109284,0.00109284,0.00109284
