epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,3297.24,1.34869,0.7828,1.22806,0.98458,0.82243,0.93445,0.46049,1.72975,0.82314,1.53457,0.00145019,0.00145019,0.00145019
108,3328.04,1.44283,0.781,1.25972,0.90291,0.86917,0.92674,0.44565,1.76338,0.8257,1.5275,0.00144088,0.00144088,0.00144088
109,3358.8,1.39417,0.79944,1.25782,0.94205,0.76636,0.89614,0.44288,1.72066,0.86615,1.52215,0.00143152,0.00143152,0.00143152
110,3389.61,1.43448,0.78841,1.25119,0.91645,0.82016,0.88687,0.42071,1.79507,0.81933,1.59024,0.00142212,0.00142212,0.00142212
111,3420.55,1.45338,0.77429,1.29602,0.96621,0.80185,0.88805,0.45462,1.75133,0.89111,1.53501,0.00141267,0.00141267,0.00141267
112,3451.39,1.3696,0.78829,1.19423,0.90074,0.79439,0.88452,0.43796,1.70494,0.86281,1.51059,0.00140318,0.00140318,0.00140318
113,3481.9,1.40211,0.76085,1.22728,0.91328,0.78745,0.8755,0.4334,1.71949,0.89768,1.53912,0.00139364,0.00139364,0.00139364
114,3512.42,1.35901,0.77437,1.21253,0.94775,0.84758,0.93121,0.45813,1.72409,0.83145,1.5282,0.00138406,0.00138406,0.00138406
115,3542.86,1.39824,0.79045,1.244,0.94667,0.82952,0.90222,0.45056,1.73521,0.87319,1.52902,0.00137444,0.00137444,0.00137444
116,3572.87,1.35062,0.75661,1.22193,0.90919,0.84215,0.92072,0.44421,1.75663,0.85239,1.57708,0.00136478,0.00136478,0.00136478
117,3603.23,1.34887,0.71927,1.20663,0.9195,0.83178,0.90635,0.43732,1.75967,0.81669,1.57932,0.00135509,0.00135509,0.00135509
118,3633.46,1.39804,0.76956,1.25655,0.96344,0.80374,0.92113,0.45551,1.68958,0.83549,1.50381,0.00134535,0.00134535,0.00134535
119,3664.5,1.3489,0.72501,1.19901,0.93594,0.83178,0.89642,0.44963,1.71227,0.8252,1.54706,0.00133558,0.00133558,0.00133558
120,3695.47,1.33818,0.71531,1.19766,0.91838,0.85981,0.93167,0.48625,1.68035,0.78244,1.51496,0.00132577,0.00132577,0.00132577
121,3726.55,1.33275,0.72646,1.19381,0.91673,0.8231,0.91534,0.47522,1.69681,0.77018,1.53568,0.00131593,0.00131593,0.00131593
122,3757.39,1.34825,0.73592,1.20771,0.91475,0.80231,0.87985,0.45076,1.71537,0.82053,1.51351,0.00130605,0.00130605,0.00130605
123,3787.97,1.38778,0.74402,1.19842,0.96214,0.81308,0.91843,0.46506,1.70828,0.78033,1.5131,0.00129614,0.00129614,0.00129614
124,3818.28,1.36061,0.70268,1.19302,0.96329,0.81308,0.93446,0.48299,1.67312,0.76485,1.50216,0.0012862,0.0012862,0.0012862
125,3847.7,1.32992,0.69092,1.17213,0.92946,0.84112,0.91133,0.48689,1.6565,0.78802,1.51254,0.00127623,0.00127623,0.00127623
126,3877.04,1.34696,0.74777,1.21611,0.97392,0.79439,0.91623,0.47238,1.68999,0.83525,1.5492,0.00126623,0.00126623,0.00126623
127,3907.63,1.35962,0.70717,1.20864,0.93025,0.81308,0.8801,0.45096,1.74504,0.88706,1.57822,0.0012562,0.0012562,0.0012562
128,3938.17,1.35284,0.73488,1.22212,0.95318,0.81308,0.91276,0.48977,1.67699,0.81023,1.52121,0.00124615,0.00124615,0.00124615
129,3968.87,1.36594,0.74953,1.22296,0.97839,0.84614,0.92527,0.46844,1.66762,0.83125,1.51514,0.00123607,0.00123607,0.00123607
130,3998.76,1.27802,0.7111,1.17541,0.91288,0.82243,0.88486,0.46728,1.681,0.85897,1.5746,0.00122596,0.00122596,0.00122596
131,4024.12,1.33403,0.71868,1.21417,0.95737,0.86916,0.93446,0.46309,1.70941,0.8334,1.5423,0.00121583,0.00121583,0.00121583
132,4039.33,1.32322,0.69992,1.19203,0.91597,0.81498,0.90257,0.46142,1.72289,0.83705,1.58068,0.00120568,0.00120568,0.00120568
133,4053.02,1.29039,0.72289,1.19818,0.94648,0.82645,0.90918,0.46767,1.66947,0.81164,1.52804,0.00119551,0.00119551,0.00119551
134,4067.58,1.34017,0.69455,1.20085,0.92504,0.82243,0.89009,0.44411,1.69794,0.82308,1.57644,0.00118531,0.00118531,0.00118531
135,4081.73,1.30234,0.70034,1.20993,0.93726,0.83769,0.92655,0.44618,1.7486,0.80142,1.56345,0.0011751,0.0011751,0.0011751
136,4095.69,1.30874,0.72431,1.17855,0.90988,0.84928,0.91385,0.47886,1.70329,0.79689,1.54644,0.00116487,0.00116487,0.00116487
137,4108.99,1.37541,0.76013,1.22724,0.89904,0.8322,0.89756,0.45859,1.70066,0.79403,1.56534,0.00115462,0.00115462,0.00115462
138,4122.47,1.31281,0.67994,1.21105,0.93657,0.85047,0.92315,0.47769,1.72356,0.76245,1.54279,0.00114436,0.00114436,0.00114436
139,4135.93,1.31363,0.73305,1.18973,0.87311,0.83601,0.8897,0.47202,1.69521,0.79718,1.5251,0.00113408,0.00113408,0.00113408
140,4149.45,1.2859,0.71021,1.17724,0.93495,0.85981,0.92802,0.44721,1.76402,0.80106,1.56673,0.00112379,0.00112379,0.00112379
141,4163.33,1.25756,0.69649,1.18426,0.87457,0.85981,0.916,0.4635,1.76887,0.73459,1.59078,0.00111348,0.00111348,0.00111348
142,4177.26,1.28457,0.72701,1.16584,0.932,0.78505,0.90723,0.47487,1.73048,0.84926,1.57083,0.00110317,0.00110317,0.00110317
143,4191.68,1.29994,0.70403,1.19512,0.94655,0.8276,0.93982,0.46512,1.72275,0.78746,1.53127,0.00109284,0.00109284,0.00109284
144,4205.58,1.26486,0.71109,1.17519,0.93483,0.83178,0.92148,0.46597,1.70386,0.82236,1.53217,0.00108251,0.00108251,0.00108251
145,4220.27,1.30064,0.70864,1.17082,0.92816,0.80374,0.89107,0.46372,1.74099,0.78457,1.57646,0.00107216,0.00107216,0.00107216
146,4234.13,1.28236,0.66856,1.18606,0.95586,0.80948,0.89882,0.45837,1.7872,0.77017,1.59967,0.00106181,0.00106181,0.00106181
147,4248.42,1.27763,0.67345,1.19031,0.92158,0.82243,0.89311,0.46658,1.71881,0.7939,1.5511,0.00105146,0.00105146,0.00105146
148,4262.57,1.26919,0.70626,1.1636,0.95139,0.81308,0.90716,0.46656,1.72262,0.80586,1.54998,0.0010411,0.0010411,0.0010411
149,4277.52,1.3116,0.66631,1.20886,0.91928,0.80374,0.91457,0.43887,1.78905,0.80235,1.61843,0.00103073,0.00103073,0.00103073
150,4291.92,1.25665,0.66941,1.13667,0.95599,0.82243,0.93942,0.45521,1.72523,0.80372,1.55512,0.00102037,0.00102037,0.00102037
151,4305.9,1.21536,0.69146,1.13874,0.83704,0.86408,0.90593,0.45079,1.75155,0.80215,1.56009,0.00101,0.00101,0.00101
152,4319.73,1.22832,0.67705,1.18555,0.88492,0.78505,0.88547,0.45876,1.77422,0.75186,1.61641,0.000999633,0.000999633,0.000999633
153,4333.45,1.3205,0.67865,1.16525,0.94556,0.8116,0.92003,0.43888,1.79766,0.77604,1.59503,0.000989267,0.000989267,0.000989267
154,4347.27,1.28951,0.68703,1.17403,0.92089,0.81308,0.91182,0.47802,1.71754,0.78128,1.54502,0.000978903,0.000978903,0.000978903
155,4361.55,1.24259,0.6726,1.17183,0.98895,0.83652,0.93376,0.45508,1.74626,0.78164,1.56767,0.000968543,0.000968543,0.000968543
156,4375.34,1.25399,0.68844,1.19212,0.96218,0.81308,0.90067,0.45433,1.74543,0.80916,1.57712,0.000958187,0.000958187,0.000958187
157,4390.9,1.2563,0.68141,1.16568,0.8758,0.85672,0.91616,0.45772,1.7428,0.74836,1.57369,0.000947837,0.000947837,0.000947837
158,4405.16,1.1406,0.64065,1.12909,0.94623,0.82239,0.93145,0.45302,1.75771,0.77293,1.57129,0.000937494,0.000937494,0.000937494
159,4418.91,1.25931,0.67049,1.16051,0.90863,0.86916,0.9253,0.47933,1.70011,0.756,1.55003,0.000927159,0.000927159,0.000927159
160,4433.62,1.20674,0.6449,1.17842,0.91429,0.85047,0.92416,0.46776,1.73742,0.79672,1.56657,0.000916833,0.000916833,0.000916833
161,4447.19,1.25867,0.67566,1.19051,0.93954,0.83178,0.90739,0.44978,1.81342,0.76448,1.64705,0.000906517,0.000906517,0.000906517
162,4461.3,1.254,0.64529,1.1624,0.93296,0.83178,0.90911,0.47108,1.72706,0.76286,1.57438,0.000896212,0.000896212,0.000896212
163,4475.22,1.25734,0.65595,1.18523,0.89501,0.87642,0.90901,0.46972,1.74555,0.73945,1.60124,0.00088592,0.00088592,0.00088592
164,4489.1,1.22062,0.65679,1.15232,0.98513,0.85047,0.93687,0.48018,1.68491,0.74524,1.53833,0.000875642,0.000875642,0.000875642
165,4502.86,1.21815,0.63383,1.15522,0.93125,0.82243,0.9227,0.48268,1.70436,0.7813,1.55357,0.000865378,0.000865378,0.000865378
166,4516.99,1.16203,0.61825,1.11745,0.88896,0.85047,0.89083,0.46366,1.70474,0.74103,1.57312,0.00085513,0.00085513,0.00085513
167,4530.68,1.20864,0.64016,1.14099,0.9021,0.86117,0.91039,0.45205,1.742,0.75528,1.58818,0.000844899,0.000844899,0.000844899
168,4545.03,1.2156,0.6267,1.14597,0.893,0.83178,0.89546,0.45515,1.74536,0.76269,1.60186,0.000834686,0.000834686,0.000834686
169,4558.64,1.24935,0.65183,1.17087,0.96654,0.80983,0.9129,0.45577,1.73668,0.75889,1.56938,0.000824492,0.000824492,0.000824492
170,4572.58,1.24809,0.67758,1.15766,0.95024,0.82243,0.90141,0.46403,1.72197,0.75432,1.56498,0.000814319,0.000814319,0.000814319
171,4586.28,1.22701,0.67718,1.14308,0.92611,0.82001,0.90111,0.46061,1.73608,0.7764,1.57064,0.000804167,0.000804167,0.000804167
172,4600.51,1.1931,0.61876,1.14801,0.90807,0.83178,0.90649,0.44653,1.74232,0.7637,1.57658,0.000794038,0.000794038,0.000794038
173,4614.57,1.22521,0.65267,1.1582,0.89857,0.82801,0.87761,0.44598,1.72636,0.77446,1.61788,0.000783933,0.000783933,0.000783933
174,4628.68,1.22472,0.67622,1.1553,0.89952,0.8367,0.87482,0.44294,1.69215,0.77872,1.56282,0.000773852,0.000773852,0.000773852
175,4643.1,1.18963,0.64461,1.1262,0.89965,0.83786,0.88724,0.45508,1.76423,0.79923,1.63358,0.000763797,0.000763797,0.000763797
176,4657.05,1.19601,0.63463,1.15839,0.92804,0.86916,0.90905,0.45648,1.71499,0.74843,1.57109,0.000753769,0.000753769,0.000753769
177,4671.8,1.22841,0.66332,1.16062,0.92038,0.86427,0.92744,0.44671,1.75448,0.79278,1.59527,0.000743769,0.000743769,0.000743769
178,4685.43,1.19572,0.64132,1.1383,0.8897,0.82928,0.89359,0.4459,1.72628,0.82976,1.57755,0.000733799,0.000733799,0.000733799
179,4699.63,1.21658,0.66186,1.14388,0.92952,0.85047,0.91607,0.45776,1.73947,0.77782,1.59922,0.000723859,0.000723859,0.000723859
180,4714.68,1.18486,0.62844,1.15943,0.95684,0.82887,0.91514,0.46314,1.73195,0.78729,1.61971,0.00071395,0.00071395,0.00071395
181,4728.55,1.20319,0.62443,1.14482,0.95436,0.82243,0.89553,0.4474,1.72645,0.82515,1.59552,0.000704073,0.000704073,0.000704073
